,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Player,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
0,AC Green,920.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,12.0,5.0,0.0,7.0,8.0,9.0,6.0,0.0,15.0,11.0,12.0,74.0,AC Green,PF,0.125,0.451,4.85,0.75,0.5,0.15000000000000002,0.55,1.5,4.75
1,AJ Bramlett,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,AJ Bramlett,C,0.0,0.19,2.8,0.0,0.1,0.0,0.4,1.6,1.0
2,AJ Guyton,2062.0,6.0,7.0,18.0,32.0,9.0,0.0,0.0,9.0,5.0,20.0,2.0,3.0,5.0,5.0,4.0,2.0,7.0,4.0,8.0,24.0,AJ Guyton,PG,0.255,0.254,0.7000000000000001,1.5666666666666664,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.5333333333333333,3.8
3,AJ Hammons,1627773.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,AJ Hammons,C,0.5,0.375,1.6,0.2,0.0,0.6,0.5,1.0,2.2
4,AJ Price,201985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,AJ Price,PG,0.2428888888888889,0.44466666666666665,1.2666666666666666,1.9,0.3666666666666667,0.022222222222222227,0.6999999999999998,0.7666666666666668,5.088888888888889
5,Aaron Brooks,201166.0,5.0,14.0,53.0,67.0,47.0,1.0,0.0,4.0,2.0,25.0,1.0,20.0,20.0,6.0,1.0,1.0,15.0,16.0,70.0,181.0,Aaron Brooks,PG,0.3545,0.4376875,1.5125000000000004,2.86875,0.5375,0.14375000000000004,1.4500000000000002,1.7812499999999998,8.643749999999999
6,Aaron Gordon,203932.0,64.0,60.0,127.0,93.0,89.0,3.0,0.0,21.0,19.0,63.0,3.0,47.0,25.0,24.0,20.0,4.0,49.0,81.0,102.0,1060.0,Aaron Gordon,PF,0.3068333333333333,0.5078333333333334,6.3500000000000005,2.3166666666666664,0.7666666666666667,0.6333333333333333,1.3666666666666665,2.016666666666667,12.516666666666667
7,Aaron Gray,201189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,70.0,Aaron Gray,C,0.0,0.5105454545454545,3.363636363636364,0.6454545454545454,0.2545454545454545,0.2272727272727273,0.7545454545454544,1.9272727272727272,2.8818181818181823
8,Aaron Harrison,1626151.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,Aaron Harrison,SG,0.16966666666666666,0.20233333333333334,1.3333333333333333,0.6333333333333333,0.43333333333333335,0.06666666666666668,0.16666666666666666,1.3,2.6
9,Aaron Holiday,1628988.0,7.0,13.0,38.0,38.0,26.0,1.0,0.0,0.0,0.0,26.0,2.0,3.0,3.0,4.0,4.0,0.0,20.0,13.0,28.0,98.0,Aaron Holiday,PG,0.3665,0.4375,1.7999999999999998,2.5,0.6000000000000001,0.25,1.05,1.6,7.65
10,Aaron Jackson,1628935.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Aaron Jackson,PG,0.25,0.4,3.0,1.0,0.0,0.0,1.0,4.0,8.0
11,Aaron McKie,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,Aaron McKie,SG,0.309,0.474125,3.075,2.6625,1.0125000000000002,0.1625,1.275,1.7375,6.8625
12,Aaron Miles,101223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Aaron Miles,PG,0.0,0.333,0.7,1.3,0.2,0.1,0.6,0.7,0.8
13,Aaron Williams,1425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,8.0,56.0,Aaron Williams,C,0.0555,0.498076923076923,3.2923076923076926,0.5384615384615385,0.3384615384615385,0.5615384615384615,0.7461538461538461,2.3538461538461544,4.5538461538461545
14,Abdel Nader,1627846.0,4.0,5.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,20.0,Abdel Nader,SF,0.3483333333333333,0.4546666666666667,1.7666666666666666,0.5,0.3333333333333333,0.26666666666666666,0.6333333333333334,1.1333333333333333,4.333333333333333
15,Acie Law,201151.0,5.0,5.0,0.0,1.0,3.0,1.0,0.0,3.0,5.0,4.0,0.0,2.0,4.0,1.0,2.0,1.0,10.0,4.0,10.0,83.0,Acie Law,PG,0.20688888888888887,0.4626666666666667,0.8888888888888888,1.3666666666666665,0.4888888888888889,0.022222222222222227,0.7111111111111111,0.8999999999999999,3.9222222222222216
16,Adam Harrington,2492.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Adam Harrington,SG,0.3513333333333333,0.2693333333333333,0.5333333333333333,0.8333333333333334,0.13333333333333333,0.06666666666666668,0.10000000000000002,0.5333333333333333,1.866666666666667
17,Adam Keefe,228.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,40.0,Adam Keefe,PF,0.16649999999999998,0.4075,2.6500000000000004,0.5,0.35,0.25,0.6499999999999999,1.5,2.35
18,Adam Mokoka,1629690.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Adam Mokoka,SG,0.4,0.462,0.9,0.4,0.4,0.0,0.2,1.5,2.9
19,Adam Morrison,200747.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,8.0,Adam Morrison,SF,0.299,0.3888,1.6,0.96,0.18,0.08,0.74,1.3,4.8
20,Admiral Schofield,1629678.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,Admiral Schofield,SF,0.298,0.5710000000000001,1.3,0.5,0.3,0.1,0.3,1.5,3.1
