,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
A.C. Green 1999,920.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,1.0,3.0,4.0,0.0,3.0,4.0,5.0,36.0
A.C. Green 2000,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,3.0,7.0,6.0,2.0,0.0,12.0,7.0,7.0,38.0
A.J. Bramlett 1999,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
A.J. Guyton 2000,2062.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
A.J. Guyton 2001,2062.0,3.0,2.0,6.0,14.0,4.0,0.0,0.0,5.0,3.0,8.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,11.0
A.J. Guyton 2002,2062.0,1.0,4.0,11.0,15.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,3.0,12.0
AJ Hammons 2016,1627773.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
AJ Hammons 2017,1627773.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
AJ Price 2014,201985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AJ Price 2015,201985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
Aaron Brooks 2014,201166.0,1.0,1.0,12.0,14.0,12.0,0.0,0.0,2.0,1.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,4.0,19.0,40.0
Aaron Brooks 2015,201166.0,3.0,8.0,34.0,35.0,29.0,1.0,0.0,2.0,1.0,14.0,0.0,7.0,10.0,5.0,1.0,0.0,11.0,8.0,34.0,104.0
Aaron Brooks 2016,201166.0,1.0,5.0,7.0,18.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,4.0,1.0,0.0,0.0,1.0,4.0,17.0,37.0
Aaron Gordon 2014,203932.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0
Aaron Gordon 2015,203932.0,4.0,8.0,5.0,1.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,100.0
Aaron Gordon 2016,203932.0,12.0,11.0,17.0,13.0,10.0,0.0,0.0,11.0,2.0,4.0,1.0,10.0,4.0,4.0,3.0,0.0,12.0,7.0,17.0,197.0
