,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
0,Aaron Gordon,203932,10.0,5.0,16.0,23.0,14.0,0.0,0.0,0.0,4.0,12.0,0.0,9.0,5.0,4.0,1.0,1.0,5.0,21.0,21.0,173.0
1,Aaron Holiday,1628988,5.0,10.0,24.0,22.0,18.0,1.0,0.0,0.0,0.0,18.0,1.0,3.0,1.0,3.0,1.0,0.0,12.0,7.0,20.0,68.0
2,Abdel Nader,1627846,7.0,7.0,13.0,8.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,47.0
3,Adam Mokoka,1629690,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
4,Admiral Schofield,1629678,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0
5,Al Horford,201143,4.0,5.0,20.0,23.0,37.0,0.0,0.0,7.0,3.0,13.0,0.0,8.0,17.0,0.0,4.0,1.0,21.0,9.0,29.0,97.0
6,Al-Farouq Aminu,202329,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0
7,Alec Burks,202692,14.0,8.0,27.0,28.0,21.0,2.0,0.0,2.0,4.0,19.0,2.0,6.0,9.0,4.0,4.0,1.0,10.0,18.0,23.0,89.0
8,Alen Smailagic,1629346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0
9,Alex Caruso,1627936,5.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,63.0
10,Alex Len,203458,5.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,122.0
11,Alfonzo McKinnie,1628035,3.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,44.0
12,Alize Johnson,1628993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
13,Allen Crabbe,203459,5.0,8.0,11.0,9.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,12.0
14,Allonzo Trier,1629019,0.0,3.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,0.0,15.0
15,Amile Jefferson,1628518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
16,Amir Coffey,1629599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0
17,Andre Drummond,203083,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,65.0,339.0
18,Andre Iguodala,2738,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0
19,Andrew Wiggins,203952,13.0,3.0,41.0,26.0,24.0,4.0,0.0,1.0,3.0,28.0,1.0,5.0,2.0,5.0,2.0,3.0,8.0,28.0,55.0,201.0
20,Anfernee Simons,1629014,10.0,4.0,29.0,20.0,10.0,1.0,0.0,0.0,4.0,17.0,1.0,4.0,4.0,4.0,6.0,1.0,8.0,12.0,18.0,68.0
21,Ante Zizic,1627790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,7.0,28.0
22,Anthony Davis,203076,15.0,2.0,18.0,15.0,15.0,0.0,0.0,6.0,1.0,16.0,2.0,23.0,10.0,16.0,1.0,2.0,14.0,28.0,51.0,280.0
23,Anthony Tolliver,201229,5.0,9.0,6.0,11.0,7.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0
24,Antonius Cleveland,1628499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25,Anzejs Pasecniks,1628394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,38.0
26,Aron Baynes,203382,2.0,4.0,12.0,7.0,33.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,29.0,87.0
27,Austin Rivers,203085,18.0,7.0,31.0,20.0,6.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,17.0,76.0
28,Avery Bradley,202340,21.0,9.0,16.0,13.0,4.0,0.0,0.0,1.0,2.0,14.0,1.0,3.0,2.0,4.0,5.0,1.0,17.0,10.0,7.0,47.0
29,BJ Johnson,1629168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
30,Bam Adebayo,1628389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,4.0,43.0,63.0,284.0
31,Ben McLemore,203463,21.0,33.0,52.0,37.0,10.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0
32,Ben Simmons,1627732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,52.0,301.0
33,Bismack Biyombo,202687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,18.0,128.0
34,Blake Griffin,201933,3.0,1.0,8.0,4.0,10.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,50.0
35,Boban Marjanovic,1626246,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,18.0,63.0
36,Bobby Portis,1626171,12.0,4.0,7.0,24.0,19.0,0.0,0.0,5.0,6.0,7.0,3.0,7.0,7.0,1.0,5.0,2.0,9.0,22.0,36.0,90.0
37,Bogdan Bogdanovic,203992,13.0,12.0,60.0,33.0,18.0,1.0,0.0,2.0,1.0,36.0,1.0,2.0,4.0,0.0,12.0,3.0,12.0,18.0,23.0,56.0
38,Bojan Bogdanovic,202711,29.0,39.0,45.0,46.0,28.0,1.0,0.0,2.0,2.0,16.0,0.0,2.0,6.0,1.0,1.0,0.0,3.0,22.0,49.0,141.0
39,Brad Wanamaker,202954,1.0,1.0,16.0,7.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,9.0,11.0,69.0
40,Bradley Beal,203078,14.0,5.0,66.0,51.0,33.0,1.0,0.0,6.0,4.0,42.0,1.0,12.0,17.0,12.0,8.0,1.0,35.0,42.0,44.0,236.0
41,Brandon Clarke,1629634,4.0,4.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,39.0,28.0,160.0
42,Brandon Goodwin,1629164,2.0,0.0,8.0,11.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,10.0,27.0
43,Brandon Ingram,1627742,23.0,18.0,40.0,36.0,19.0,0.0,0.0,5.0,0.0,25.0,0.0,20.0,14.0,6.0,10.0,0.0,17.0,39.0,27.0,186.0
44,Brandon Knight,202688,3.0,2.0,16.0,11.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0
45,Brian Bowen II,1628968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,Brook Lopez,201572,11.0,7.0,21.0,30.0,15.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,11.0,1.0,1.0,0.0,3.0,14.0,33.0,94.0
47,Bruce Brown,1628971,11.0,14.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,41.0,117.0
48,Bruno Caboclo,203998,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,21.0
49,Bruno Fernando,1628981,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,85.0
50,Bryn Forbes,1627854,5.0,10.0,54.0,56.0,23.0,0.0,0.0,0.0,1.0,28.0,1.0,2.0,2.0,1.0,4.0,3.0,21.0,8.0,14.0,29.0
51,Buddy Hield,1627741,33.0,21.0,93.0,57.0,39.0,1.0,0.0,5.0,5.0,54.0,0.0,8.0,5.0,12.0,8.0,1.0,19.0,16.0,15.0,107.0
52,CJ McCollum,203468,21.0,19.0,55.0,47.0,31.0,1.0,0.0,5.0,8.0,37.0,2.0,16.0,15.0,10.0,19.0,1.0,32.0,54.0,59.0,134.0
53,CJ Miles,101139,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
