,PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus,Player,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
0,1713,0.583,0.417,0.539,0.404,0.342,1.52,1.07,1.32,1.21,1.05,3.32,2.38,3.07,2.3,1.95,-0.063,0.098,0.071,-0.052000000000000005,-0.084,Vince Carter,8.0,5.0,19.0,17.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,4.0,2.0,3.0,1.0,3.0,6.0,11.0,11.0,SF,0.302,0.451,0.3,1.8,0.8,0.4,0.4,0.6,1.5,5.0
1,2199,0.865,0.135,0.29,0.634,0.473,4.52,0.52,1.13,3.65,2.98,8.74,1.37,2.93,6.41,4.78,-0.008,0.014,0.013,-0.004,0.0,Tyson Chandler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,C,0.0,0.778,1.0,1.6,0.2,0.2,0.3,0.3,1.2,1.3
2,2544,0.623,0.377,0.501,0.436,0.34600000000000003,3.43,1.54,2.16,2.51,2.09,6.93,4.18,5.56,4.84,3.84,-0.013,0.005,0.016,-0.044,-0.07200000000000001,LeBron James,5.0,4.0,53.0,30.0,36.0,4.0,2.0,3.0,1.0,34.0,2.0,12.0,4.0,10.0,5.0,3.0,10.0,11.0,31.0,345.0,PG,0.349,0.57,1.0,6.9,10.6,1.2,0.5,4.0,1.8,25.7
3,2546,0.631,0.369,0.511,0.418,0.32299999999999995,3.89,1.34,2.0,2.91,2.5,6.95,4.07,5.63,4.61,3.55,0.043,-0.032,-0.016,0.058,0.077,Carmelo Anthony,5.0,14.0,24.0,22.0,7.0,0.0,0.0,2.0,11.0,23.0,5.0,16.0,33.0,8.0,6.0,0.0,7.0,18.0,15.0,81.0,PF,0.371,0.447,1.2,5.0,1.6,0.8,0.5,1.7,2.8,15.3
4,2594,0.5820000000000001,0.418,0.531,0.395,0.308,2.42,1.12,1.38,1.89,1.63,4.56,3.27,4.16,3.1,2.41,0.032,-0.022,-0.043,0.055,0.07,Kyle Korver,12.0,10.0,24.0,16.0,22.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,3.0,1.0,4.0,SF,0.415,0.48100000000000004,0.3,1.8,1.2,0.4,0.2,0.8,1.4,6.7
5,2617,0.677,0.32299999999999995,0.387,0.581,0.419,0.82,0.18,0.27,0.64,0.55,1.91,0.91,1.09,1.64,1.18,-0.09,-0.179,-0.132,-0.175,-0.125,Udonis Haslem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PF,0.0,0.25,0.0,2.7,0.3,0.0,0.0,0.0,1.0,1.7
6,2730,0.8,0.2,0.34700000000000003,0.551,0.402,4.63,0.8,1.48,3.36,2.61,9.04,2.26,3.93,6.23,4.54,-0.012,0.001,0.001,-0.03,-0.046,Dwight Howard,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,173.0,C,0.6,0.7340000000000001,2.5,4.9,0.7,0.4,1.2,1.2,3.2,7.5
7,2738,0.573,0.4270000000000001,0.5670000000000001,0.363,0.262,2.09,0.89,1.25,1.53,1.3,4.17,3.11,4.13,2.64,1.91,-0.003,-0.073,-0.068,0.016,0.06,Andre Iguodala,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,SG,0.375,0.593,0.7,3.1,2.0,0.6,1.1,1.2,2.0,4.4
8,2772,0.5920000000000001,0.408,0.515,0.425,0.332,2.85,0.92,1.32,2.24,1.88,4.76,3.27,4.14,3.41,2.67,0.08800000000000001,-0.076,-0.052000000000000005,0.08900000000000001,0.084,Trevor Ariza,15.0,17.0,18.0,20.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,SF,0.3720000000000001,0.556,0.6,4.0,1.7,1.3,0.3,1.1,2.1,8.0
9,101107,0.67,0.33,0.501,0.424,0.337,3.36,0.96,1.63,2.42,2.04,6.14,3.03,4.59,3.88,3.09,0.032,-0.045,-0.02,0.053,0.038,Marvin Williams,14.0,10.0,11.0,11.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,21.0,32.0,PF,0.361,0.552,0.4,2.5,1.1,0.7,0.5,0.5,1.8,6.1
10,101108,0.623,0.377,0.463,0.446,0.353,3.52,1.36,1.71,2.76,2.41,6.36,3.84,4.72,4.55,3.6,0.042,-0.01,-0.013,0.039,0.051,Chris Paul,6.0,2.0,34.0,21.0,35.0,2.0,1.0,2.0,2.0,16.0,0.0,11.0,20.0,17.0,26.0,1.0,28.0,83.0,39.0,54.0,PG,0.36200000000000004,0.557,0.3,4.6,6.8,1.6,0.1,2.2,2.2,17.7
