,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,0.33299999999999996,0.593,3.4,6.0,2.4,0.9,1.1,1.5,1.9,10.9
1,Bam Adebayo,PF,0.077,0.5760000000000001,2.5,8.0,5.1,1.2,1.3,2.8,2.5,16.2
2,LaMarcus Aldridge,C,0.389,0.519,1.9,5.5,2.4,0.7,1.6,1.4,2.4,18.9
3,Nickeil Alexander-Walker,SG,0.342,0.336,0.2,1.8,1.8,0.3,0.2,1.0,1.1,5.1
4,Grayson Allen,SG,0.363,0.541,0.2,2.0,1.4,0.2,0.0,0.8,1.2,7.4
5,Jarrett Allen,C,0.0,0.654,3.0,6.4,1.3,0.6,1.3,1.1,2.3,10.6
6,Kadeem Allen,SG,0.313,0.5,0.2,0.7,2.1,0.5,0.2,0.8,0.7,5.0
7,Al-Farouq Aminu,PF,0.25,0.32,1.3,3.5,1.2,1.0,0.4,0.9,1.5,4.3
8,Justin Anderson,SF,0.0,0.33299999999999996,0.0,0.7,0.0,0.0,0.3,0.0,0.7,1.0
9,Kyle Anderson,PF,0.258,0.56,0.9,3.4,2.2,0.8,0.5,0.9,1.4,5.7
10,Ryan Anderson,PF,0.2,0.5,0.0,3.5,1.0,0.5,0.0,0.5,0.5,2.5
11,Giannis Antetokounmpo,PF,0.306,0.622,2.3,11.5,5.8,1.0,1.0,3.7,3.0,29.6
12,Kostas Antetokounmpo,PF,,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,SF,0.0,0.655,0.6,0.4,0.5,0.3,0.1,0.6,0.7,2.5
14,Carmelo Anthony,PF,0.371,0.447,1.2,5.0,1.6,0.8,0.5,1.7,2.8,15.3
15,OG Anunoby,SF,0.381,0.593,1.2,4.2,1.6,1.4,0.7,1.2,2.5,10.7
16,Ryan Arcidiacono,PG,0.391,0.439,0.3,1.6,1.7,0.5,0.1,0.6,1.7,4.5
