,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
0,Aaron Gordon,203932,10.0,5.0,16.0,23.0,14.0,0.0,0.0,0.0,4.0,12.0,0.0,9.0,5.0,4.0,1.0,1.0,5.0,21.0,21.0,173.0,PF,0.301,0.4920000000000001,1.8,5.8,3.7,0.9,0.6,1.6,2.0,14.4
1,Aaron Holiday,1628988,5.0,10.0,24.0,22.0,18.0,1.0,0.0,0.0,0.0,18.0,1.0,3.0,1.0,3.0,1.0,0.0,12.0,7.0,20.0,68.0,PG,0.394,0.416,0.4,1.9,3.3,0.8,0.2,1.3,1.8,9.4
2,Abdel Nader,1627846,7.0,7.0,13.0,8.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,47.0,SF,0.371,0.53,0.3,1.6,0.7,0.4,0.4,0.8,1.4,6.0
3,Adam Mokoka,1629690,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,SG,0.4,0.462,0.6,0.3,0.4,0.4,0.0,0.2,1.5,2.9
4,Admiral Schofield,1629678,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,SF,0.298,0.5710000000000001,0.2,1.0,0.5,0.3,0.1,0.3,1.5,3.1
5,Al Horford,201143,4.0,5.0,20.0,23.0,37.0,0.0,0.0,7.0,3.0,13.0,0.0,8.0,17.0,0.0,4.0,1.0,21.0,9.0,29.0,97.0,C,0.337,0.513,1.5,5.3,4.1,0.9,0.9,1.1,2.1,12.0
6,AlFarouq Aminu,202329,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,PF,0.25,0.32,1.3,3.5,1.2,1.0,0.4,0.9,1.5,4.3
7,Alec Burks,202692,14.0,8.0,27.0,28.0,21.0,2.0,0.0,2.0,4.0,19.0,2.0,6.0,9.0,4.0,4.0,1.0,10.0,18.0,23.0,89.0,SG,0.366,0.428,0.7,3.7,2.9,1.0,0.3,1.4,2.0,15.1
8,Alen Smailagic,1629346,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,PF,0.231,0.63,0.7,1.2,0.9,0.2,0.3,0.8,1.0,4.2
9,Alex Caruso,1627936,5.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,63.0,PG,0.355,0.471,0.2,1.7,1.8,1.0,0.3,0.8,1.5,5.4
10,Alex Len,203458,5.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,122.0,C,0.25,0.626,1.9,4.1,1.0,0.4,0.9,1.0,2.3,8.3
11,Alfonzo McKinnie,1628035,3.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,44.0,SF,0.215,0.557,0.9,1.9,0.4,0.6,0.2,0.7,1.8,4.6
12,Alize Johnson,1628993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,SF,0.0,0.467,0.5,0.8,0.2,0.0,0.0,0.2,0.5,1.4
13,Allen Crabbe,203459,5.0,8.0,11.0,9.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,12.0,SG,0.303,0.466,0.3,1.8,0.9,0.4,0.1,0.5,1.3,4.6
14,Allonzo Trier,1629019,0.0,3.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,3.0,0.0,15.0,PG,0.358,0.604,0.3,1.0,1.2,0.1,0.2,0.9,1.2,6.5
15,Amile Jefferson,1628518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,PF,0.0,0.35700000000000004,0.6,0.7,0.2,0.1,0.2,0.2,0.4,0.8
