PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
1713,0.583,0.417,0.539,0.404,0.342,1.52,1.07,1.32,1.21,1.05,3.32,2.38,3.07,2.3,1.95,-0.063,0.098,0.071,-0.052,-0.084
2199,0.865,0.135,0.29,0.634,0.473,4.52,0.52,1.13,3.65,2.98,8.74,1.37,2.93,6.41,4.78,-0.008,0.014,0.013,-0.004,0.0
2544,0.623,0.377,0.501,0.436,0.346,3.43,1.54,2.16,2.51,2.09,6.93,4.18,5.56,4.84,3.84,-0.013,0.005,0.016,-0.044,-0.072
2546,0.631,0.369,0.511,0.418,0.323,3.89,1.34,2.0,2.91,2.5,6.95,4.07,5.63,4.61,3.55,0.043,-0.032,-0.016,0.058,0.077
2594,0.582,0.418,0.531,0.395,0.308,2.42,1.12,1.38,1.89,1.63,4.56,3.27,4.16,3.1,2.41,0.032,-0.022,-0.043,0.055,0.07
2617,0.677,0.323,0.387,0.581,0.419,0.82,0.18,0.27,0.64,0.55,1.91,0.91,1.09,1.64,1.18,-0.09,-0.179,-0.132,-0.175,-0.125
2730,0.8,0.2,0.347,0.551,0.402,4.63,0.8,1.48,3.36,2.61,9.04,2.26,3.93,6.23,4.54,-0.012,0.001,0.001,-0.03,-0.046
2738,0.573,0.427,0.567,0.363,0.262,2.09,0.89,1.25,1.53,1.3,4.17,3.11,4.13,2.64,1.91,-0.003,-0.073,-0.068,0.016,0.06
2772,0.592,0.408,0.515,0.425,0.332,2.85,0.92,1.32,2.24,1.88,4.76,3.27,4.14,3.41,2.67,0.088,-0.076,-0.052,0.089,0.084
101107,0.67,0.33,0.501,0.424,0.337,3.36,0.96,1.63,2.42,2.04,6.14,3.03,4.59,3.88,3.09,0.032,-0.045,-0.02,0.053,0.038
101108,0.623,0.377,0.463,0.446,0.353,3.52,1.36,1.71,2.76,2.41,6.36,3.84,4.72,4.55,3.6,0.042,-0.01,-0.013,0.039,0.051
101133,0.789,0.211,0.347,0.584,0.42,2.68,0.45,0.86,2.04,1.66,5.49,1.47,2.42,4.06,2.92,-0.034,-0.044,-0.016,-0.066,-0.047
101139,0.57,0.43,0.566,0.37,0.225,1.27,0.61,0.9,0.9,0.71,2.57,1.94,2.56,1.67,1.01,-0.009,-0.039,-0.011,-0.024,0.077
101141,0.721,0.279,0.434,0.504,0.368,3.26,1.01,1.52,2.55,1.97,6.84,2.65,4.12,4.78,3.49,-0.035,0.027,0.004,-0.031,-0.053
101150,0.525,0.475,0.65,0.269,0.215,2.32,1.35,2.0,1.5,1.28,4.36,3.95,5.4,2.23,1.78,0.029,-0.017,-0.001,0.109,0.103
200746,0.755,0.245,0.431,0.488,0.345,4.64,1.26,2.23,3.08,2.42,10.18,3.3,5.81,6.58,4.65,-0.064,0.02,0.01,-0.101,-0.099
200752,0.633,0.367,0.503,0.438,0.339,2.37,1.09,1.49,1.79,1.46,5.14,2.98,4.09,3.56,2.75,-0.044,0.001,-0.005,-0.063,-0.084
200755,0.586,0.414,0.599,0.287,0.185,2.3,1.17,1.72,1.39,1.04,4.59,3.25,4.7,2.25,1.45,0.003,-0.001,-0.011,0.061,0.102
200757,0.612,0.388,0.519,0.395,0.285,2.47,1.11,1.37,1.89,1.47,4.68,2.97,3.97,3.03,2.18,0.01,0.014,-0.028,0.045,0.04
200765,0.566,0.434,0.597,0.315,0.232,2.38,1.11,1.66,1.52,1.22,4.08,3.13,4.3,2.27,1.67,0.088,-0.003,0.014,0.111,0.123
200768,0.636,0.364,0.535,0.345,0.261,3.39,1.31,2.09,2.08,1.73,6.94,3.97,5.83,3.77,2.84,-0.006,-0.035,-0.019,-0.002,0.001
200782,0.638,0.362,0.492,0.436,0.343,3.56,1.27,1.78,2.7,2.28,6.2,3.51,4.78,4.23,3.33,0.065,0.003,0.004,0.071,0.066
200794,0.709,0.291,0.419,0.509,0.411,4.59,1.51,2.22,3.43,2.78,10.05,4.14,5.95,7.22,5.84,-0.061,0.004,0.0,-0.097,-0.144
200826,0.566,0.434,0.637,0.259,0.153,2.34,1.34,2.03,1.29,0.9,4.18,3.21,4.71,1.91,1.13,0.073,0.059,0.062,0.121,0.184
201143,0.75,0.25,0.427,0.49,0.357,5.01,1.26,2.25,3.62,2.93,11.51,3.83,6.55,7.51,5.48,-0.076,-0.032,-0.031,-0.087,-0.087
201144,0.555,0.445,0.63,0.277,0.218,2.5,1.42,2.0,1.75,1.42,5.5,4.42,6.25,2.75,2.17,-0.046,-0.046,-0.047,0.082,0.036
201145,0.627,0.373,0.513,0.432,0.319,3.13,1.22,1.79,2.36,1.87,5.99,3.56,4.9,4.13,3.05,0.01,-0.015,-0.003,0.006,-0.002
201152,0.595,0.405,0.552,0.37,0.275,3.98,1.86,2.53,2.85,2.3,7.57,5.15,7.02,4.7,3.49,0.006,0.0,-0.013,0.03,0.025
201158,0.518,0.482,0.634,0.287,0.191,1.89,1.16,1.61,1.23,1.01,3.41,3.16,4.16,1.89,1.25,0.053,0.012,0.019,0.085,0.19
201162,0.622,0.378,0.496,0.435,0.329,2.15,0.68,0.96,1.64,1.34,3.26,1.98,2.6,2.28,1.72,0.149,-0.004,0.006,0.153,0.158
201163,0.597,0.403,0.555,0.361,0.272,2.62,1.38,2.03,1.68,1.41,5.61,3.78,5.22,3.39,2.55,-0.041,0.003,0.015,-0.076,-0.072
201188,0.834,0.166,0.316,0.631,0.53,5.07,0.74,1.4,4.19,3.82,10.36,2.07,3.93,7.84,6.59,-0.037,-0.008,-0.02,-0.041,-0.044
201229,0.66,0.34,0.479,0.438,0.331,2.65,0.95,1.43,1.89,1.56,5.7,2.94,4.14,3.78,2.86,-0.047,-0.034,-0.022,-0.071,-0.075
201565,0.696,0.304,0.466,0.432,0.297,2.32,0.68,1.12,1.56,1.16,4.12,1.8,2.76,2.56,1.76,0.056,0.021,0.034,0.042,0.041
201566,0.598,0.402,0.543,0.378,0.311,2.5,1.18,1.6,1.77,1.55,4.88,3.28,4.44,3.09,2.54,0.002,-0.005,-0.016,0.008,-0.007
201567,0.789,0.211,0.315,0.605,0.467,5.32,1.02,1.56,4.24,3.59,9.46,2.53,3.78,7.25,5.59,0.045,0.032,0.03,0.012,0.016
201568,0.648,0.352,0.502,0.431,0.324,3.81,1.48,2.05,2.76,2.29,7.81,4.24,6.05,5.19,3.9,-0.022,-0.023,-0.04,-0.036,-0.037
201569,0.525,0.475,0.607,0.305,0.192,1.96,1.1,1.48,1.36,1.01,3.97,3.59,4.59,2.3,1.45,-0.012,-0.053,-0.05,0.031,0.085
201571,0.602,0.398,0.602,0.283,0.196,2.0,1.0,1.53,1.15,0.92,3.91,2.58,3.91,1.84,1.27,0.025,0.033,0.025,0.08,0.119
201572,0.794,0.206,0.346,0.57,0.426,4.56,0.93,1.76,3.33,2.78,9.51,2.47,4.15,6.83,5.11,-0.039,0.02,0.05,-0.085,-0.082
201577,0.823,0.177,0.358,0.569,0.429,5.03,0.78,1.79,3.62,2.84,9.87,2.13,4.3,6.83,5.14,-0.017,0.003,0.041,-0.044,-0.072
201580,0.783,0.217,0.386,0.568,0.434,2.23,0.43,0.8,1.72,1.34,4.49,1.25,2.22,3.26,2.49,-0.012,0.0,-0.001,-0.033,-0.073
201583,0.723,0.277,0.44,0.48,0.352,3.06,1.02,1.42,2.35,1.98,6.59,2.53,4.02,4.38,3.21,-0.039,0.042,-0.015,-0.019,0.01
201584,0.565,0.435,0.634,0.289,0.203,2.52,1.35,2.0,1.6,1.31,4.77,3.68,5.36,2.44,1.72,0.025,0.0,-0.006,0.093,0.141
201586,0.723,0.277,0.437,0.493,0.397,3.89,1.14,1.86,2.83,2.45,7.68,2.95,4.64,5.24,4.22,-0.001,0.03,0.028,-0.025,-0.043
201587,0.615,0.385,0.571,0.339,0.261,2.56,1.42,2.08,1.66,1.36,5.05,3.16,4.69,2.78,2.14,0.003,0.081,0.063,0.03,0.017
201588,0.554,0.446,0.58,0.364,0.272,2.48,1.4,1.79,1.94,1.61,4.75,3.82,4.97,3.12,2.33,0.016,0.004,-0.013,0.057,0.068
201599,0.782,0.218,0.389,0.514,0.373,4.63,0.92,1.74,3.34,2.75,9.49,2.64,4.72,6.24,4.53,-0.036,-0.007,-0.007,-0.038,-0.015
201609,0.709,0.291,0.434,0.465,0.311,2.64,0.83,1.31,1.94,1.53,5.99,2.46,3.67,3.93,2.63,-0.055,-0.027,-0.021,-0.057,-0.026
201933,0.619,0.381,0.522,0.391,0.327,4.41,1.81,2.62,3.1,2.71,8.71,5.36,7.34,5.5,4.6,-0.009,-0.024,-0.014,-0.003,-0.034
201935,0.607,0.393,0.526,0.39,0.282,3.82,1.89,2.53,2.86,2.29,7.49,4.85,6.49,4.81,3.47,-0.002,0.026,0.017,0.026,0.038
201937,0.663,0.337,0.543,0.345,0.255,3.34,1.35,2.16,2.13,1.73,6.22,3.16,5.09,3.23,2.39,0.037,0.074,0.052,0.094,0.105
201939,0.59,0.41,0.56,0.355,0.24,2.75,1.27,1.75,2.0,1.57,5.02,3.49,4.76,3.02,2.04,0.052,0.005,-0.005,0.114,0.166
201942,0.633,0.367,0.545,0.338,0.238,2.21,1.05,1.53,1.39,1.15,4.61,2.68,3.98,2.46,1.74,-0.022,0.026,0.005,0.001,0.043
201949,0.632,0.368,0.501,0.431,0.314,3.14,1.24,1.85,2.21,1.83,6.15,3.58,4.87,4.2,3.06,-0.006,-0.015,0.003,-0.042,-0.022
201950,0.544,0.456,0.64,0.281,0.215,3.79,2.28,3.31,2.34,2.05,7.74,6.48,9.1,4.0,3.06,-0.014,-0.012,-0.011,0.023,0.058
201952,0.563,0.437,0.596,0.313,0.236,2.91,1.53,2.24,1.84,1.56,5.34,4.14,5.66,2.97,2.24,0.047,0.011,0.023,0.066,0.087
201959,0.649,0.351,0.507,0.435,0.35,4.24,1.7,2.45,3.22,2.76,8.27,4.48,6.46,5.55,4.46,-0.004,0.019,0.008,0.008,-0.002
201960,0.717,0.283,0.439,0.478,0.395,4.18,1.21,1.97,3.07,2.72,8.13,3.21,4.97,5.42,4.48,0.002,0.01,0.018,-0.006,-0.023
201961,0.55,0.45,0.588,0.316,0.213,1.93,1.27,1.64,1.23,0.93,3.83,3.13,4.09,2.2,1.48,0.003,0.039,0.023,-0.005,0.008
201976,0.579,0.421,0.632,0.237,0.175,3.45,1.73,3.0,1.36,1.09,6.0,4.36,6.55,2.45,1.82,0.089,0.053,0.084,0.011,-0.005
201980,0.671,0.329,0.473,0.435,0.321,3.79,1.23,1.84,2.79,2.29,7.39,3.61,5.2,4.79,3.53,0.002,-0.024,-0.023,0.014,0.025
201988,0.595,0.405,0.602,0.29,0.19,2.18,0.98,1.61,1.2,0.85,4.05,2.76,4.1,1.98,1.29,0.041,-0.004,0.022,0.04,0.038
202066,0.519,0.481,0.617,0.337,0.25,2.06,1.54,1.97,1.46,1.26,4.15,3.85,4.94,2.69,2.0,-0.008,0.035,0.027,-0.017,0.019
202083,0.567,0.433,0.639,0.248,0.15,2.55,1.26,2.0,1.29,0.98,4.94,3.77,5.56,2.16,1.31,0.011,-0.032,-0.018,0.027,0.129
202323,0.624,0.376,0.56,0.326,0.228,2.59,1.14,1.9,1.5,1.1,5.35,3.22,4.79,2.79,1.95,-0.02,-0.012,0.019,-0.024,-0.045
202324,0.779,0.221,0.373,0.548,0.437,4.32,0.96,1.61,3.27,2.73,9.35,2.65,4.48,6.57,5.25,-0.056,0.002,-0.013,-0.072,-0.104
202329,0.689,0.311,0.457,0.475,0.361,3.99,1.25,2.03,2.88,2.34,8.03,3.62,5.32,5.53,4.21,-0.029,-0.018,0.006,-0.059,-0.074
202330,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.527,0.0,0.0,0.455,0.368
202331,0.582,0.418,0.534,0.4,0.324,4.04,2.03,2.55,3.18,2.78,7.15,5.13,6.56,4.91,3.97,0.046,0.028,0.01,0.072,0.07
202334,0.843,0.157,0.274,0.661,0.509,3.38,0.51,0.88,2.78,2.3,6.82,1.27,2.22,5.35,4.12,-0.029,0.043,0.023,-0.049,-0.06
