,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,203458,69,69,Overall,1.0,5.0,10.26,0.487,0.484,0.003
1,203458,69,50,3 Pointers,0.155,0.65,1.59,0.409,0.346,0.063
2,203458,69,69,2 Pointers,0.845,4.35,8.67,0.502,0.524,-0.023
3,203458,69,69,Less Than 6 Ft,0.531,3.04,5.45,0.559,0.62,-0.062
4,203458,69,69,Less Than 10 Ft,0.651,3.48,6.68,0.521,0.573,-0.052
5,203458,69,61,Greater Than 15 Ft,0.287,1.23,2.94,0.419,0.369,0.05
0,203459,73,73,Overall,1.0,3.59,8.44,0.425,0.45,-0.024
1,203459,73,67,3 Pointers,0.323,0.9,2.73,0.332,0.369,-0.038
2,203459,73,70,2 Pointers,0.677,2.68,5.71,0.47,0.492,-0.022
3,203459,73,58,Less Than 6 Ft,0.229,1.22,1.93,0.631,0.609,0.023
4,203459,73,65,Less Than 10 Ft,0.341,1.49,2.88,0.519,0.554,-0.035
5,203459,73,72,Greater Than 15 Ft,0.55,1.68,4.64,0.363,0.38,-0.017
0,202718,34,34,Overall,1.0,2.71,5.41,0.5,0.454,0.046
1,202718,34,29,3 Pointers,0.386,0.91,2.09,0.437,0.373,0.064
2,202718,34,32,2 Pointers,0.614,1.79,3.32,0.54,0.504,0.035
3,202718,34,25,Less Than 6 Ft,0.266,1.09,1.44,0.755,0.611,0.144
4,202718,34,28,Less Than 10 Ft,0.364,1.24,1.97,0.627,0.556,0.071
5,202718,34,34,Greater Than 15 Ft,0.527,1.26,2.85,0.443,0.375,0.068
0,1627745,13,13,Overall,1.0,1.54,3.15,0.488,0.457,0.031
1,1627745,13,4,3 Pointers,0.195,0.31,0.62,0.5,0.356,0.144
2,1627745,13,13,2 Pointers,0.805,1.23,2.54,0.485,0.505,-0.02
3,1627745,13,11,Less Than 6 Ft,0.512,0.92,1.62,0.571,0.588,-0.017
4,1627745,13,12,Less Than 10 Ft,0.634,1.0,2.0,0.5,0.547,-0.047
5,1627745,13,6,Greater Than 15 Ft,0.293,0.38,0.92,0.417,0.384,0.032
0,1627761,25,25,Overall,1.0,3.12,6.28,0.497,0.445,0.052
1,1627761,25,20,3 Pointers,0.389,0.88,2.44,0.361,0.367,-0.007
2,1627761,25,24,2 Pointers,0.611,2.24,3.84,0.583,0.496,0.087
3,1627761,25,21,Less Than 6 Ft,0.293,1.32,1.84,0.717,0.618,0.099
4,1627761,25,21,Less Than 10 Ft,0.382,1.68,2.4,0.7,0.555,0.145
5,1627761,25,23,Greater Than 15 Ft,0.51,1.12,3.2,0.35,0.377,-0.027
0,203473,59,59,Overall,1.0,4.71,10.58,0.446,0.475,-0.029
1,203473,59,51,3 Pointers,0.316,1.15,3.34,0.345,0.358,-0.012
2,203473,59,59,2 Pointers,0.684,3.56,7.24,0.492,0.521,-0.029
3,203473,59,55,Less Than 6 Ft,0.359,2.07,3.8,0.545,0.619,-0.075
4,203473,59,58,Less Than 10 Ft,0.466,2.56,4.93,0.519,0.568,-0.049
5,203473,59,58,Greater Than 15 Ft,0.468,1.83,4.95,0.37,0.374,-0.004
0,202323,78,78,Overall,1.0,3.73,8.56,0.436,0.453,-0.017
1,202323,78,74,3 Pointers,0.376,1.14,3.22,0.355,0.366,-0.012
2,202323,78,78,2 Pointers,0.624,2.59,5.35,0.484,0.504,-0.02
3,202323,78,62,Less Than 6 Ft,0.228,1.1,1.95,0.566,0.611,-0.045
4,202323,78,71,Less Than 10 Ft,0.326,1.5,2.79,0.537,0.561,-0.024
5,202323,78,77,Greater Than 15 Ft,0.56,1.9,4.79,0.396,0.377,0.019
0,203953,31,31,Overall,1.0,3.9,8.42,0.464,0.461,0.003
1,203953,31,31,3 Pointers,0.383,1.06,3.23,0.33,0.364,-0.034
2,203953,31,29,2 Pointers,0.617,2.84,5.19,0.547,0.52,0.027
3,203953,31,28,Less Than 6 Ft,0.406,2.1,3.42,0.613,0.628,-0.015
4,203953,31,28,Less Than 10 Ft,0.471,2.32,3.97,0.585,0.576,0.01
5,203953,31,31,Greater Than 15 Ft,0.471,1.23,3.97,0.309,0.371,-0.062
0,201952,70,70,Overall,1.0,4.44,9.49,0.468,0.445,0.024
1,201952,70,68,3 Pointers,0.437,1.53,4.14,0.369,0.358,0.011
2,201952,70,70,2 Pointers,0.563,2.91,5.34,0.545,0.499,0.047
3,201952,70,63,Less Than 6 Ft,0.236,1.56,2.24,0.694,0.607,0.087
4,201952,70,66,Less Than 10 Ft,0.313,1.84,2.97,0.62,0.554,0.066
5,201952,70,70,Greater Than 15 Ft,0.596,2.24,5.66,0.396,0.374,0.023
0,1628381,73,73,Overall,1.0,4.99,10.96,0.455,0.479,-0.024
1,1628381,73,65,3 Pointers,0.243,0.97,2.66,0.366,0.357,0.009
