PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
1713,0.583,0.41700000000000004,0.539,0.40399999999999997,0.342,1.52,1.07,1.32,1.21,1.05,3.32,2.38,3.07,2.3,1.95,-0.063,0.098,0.071,-0.052000000000000005,-0.084
1717,0.782,0.218,0.369,0.5670000000000001,0.43700000000000006,3.87,0.8,1.38,3.07,2.57,7.47,2.08,3.53,5.42,4.17,-0.01,0.03,0.022000000000000002,-0.011000000000000001,-0.01
1891,0.606,0.39399999999999996,0.5760000000000001,0.34,0.271,1.45,0.55,0.81,1.02,0.83,2.62,1.7,2.49,1.47,1.17,0.059000000000000004,-0.032,-0.042,0.146,0.095
1938,0.611,0.389,0.55,0.33399999999999996,0.23399999999999999,1.52,0.58,0.92,0.94,0.73,3.14,2.0,2.83,1.72,1.2,-0.025,-0.07200000000000001,-0.043,-0.02,-0.013000000000000001
2037,0.523,0.47700000000000004,0.639,0.281,0.214,1.17,0.68,0.97,0.78,0.64,1.94,1.77,2.36,1.04,0.79,0.10800000000000001,0.027000000000000003,0.045,0.193,0.198
2199,0.865,0.135,0.29,0.634,0.473,4.52,0.52,1.13,3.65,2.98,8.74,1.37,2.93,6.41,4.78,-0.008,0.013999999999999999,0.013000000000000001,-0.004,0.0
2200,0.856,0.14400000000000002,0.309,0.596,0.47,4.06,0.57,1.27,2.92,2.43,8.7,1.47,3.14,6.06,4.78,-0.049,0.03,0.033,-0.084,-0.106
2207,0.593,0.40700000000000003,0.5429999999999999,0.382,0.294,2.15,0.96,1.27,1.67,1.47,4.29,2.95,3.93,2.76,2.13,-0.006,-0.027999999999999997,-0.044000000000000004,0.044000000000000004,0.08
2210,0.516,0.484,0.6940000000000001,0.29,0.161,0.94,0.94,1.24,0.59,0.35,1.88,1.76,2.53,1.06,0.59,-0.011000000000000001,0.185,0.124,-0.009000000000000001,-0.039
2216,0.735,0.265,0.4,0.546,0.445,4.24,1.0,1.51,3.46,2.92,7.0,2.53,3.81,5.2,4.24,0.077,0.034,0.024,0.084,0.062
2225,0.598,0.402,0.598,0.28300000000000003,0.17300000000000001,1.55,0.64,1.07,0.93,0.71,2.76,1.85,2.76,1.31,0.8,0.057,-0.017,0.023,0.142,0.247
2403,0.695,0.305,0.466,0.48200000000000004,0.35700000000000004,2.42,0.63,1.04,1.83,1.48,4.9,2.15,3.29,3.4,2.52,-0.013000000000000001,-0.071,-0.054000000000000006,-0.017,-0.021
2544,0.623,0.377,0.501,0.436,0.34600000000000003,3.43,1.54,2.16,2.51,2.09,6.93,4.18,5.56,4.84,3.84,-0.013000000000000001,0.005,0.016,-0.044000000000000004,-0.07200000000000001
2546,0.631,0.369,0.511,0.418,0.32299999999999995,3.89,1.34,2.0,2.91,2.5,6.95,4.07,5.63,4.61,3.55,0.043,-0.032,-0.016,0.057999999999999996,0.077
2548,0.58,0.42,0.545,0.38,0.292,2.15,1.01,1.31,1.64,1.39,4.42,3.19,4.15,2.9,2.22,-0.019,-0.034,-0.046,0.006,0.008
2555,0.81,0.19,0.28600000000000003,0.619,0.429,0.82,0.09,0.09,0.73,0.64,1.55,0.36,0.55,1.18,0.82,0.01,-0.105,-0.19699999999999998,0.053,0.161
2561,0.76,0.24,0.401,0.519,0.40299999999999997,2.38,0.55,0.99,1.81,1.53,5.37,1.7,2.84,3.67,2.85,-0.07200000000000001,-0.032,-0.018000000000000002,-0.07400000000000001,-0.077
2570,1.0,0.0,0.33299999999999996,0.667,0.667,2.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,0.175,0.0,-0.278,0.46,0.419
2585,0.7829999999999999,0.217,0.35600000000000004,0.5760000000000001,0.47200000000000003,3.33,0.65,1.17,2.59,2.26,6.13,1.7,2.78,4.51,3.7,0.022000000000000002,0.027000000000000003,0.047,0.004,-0.006999999999999999
2594,0.5820000000000001,0.418,0.531,0.395,0.308,2.42,1.12,1.38,1.89,1.63,4.56,3.27,4.16,3.1,2.41,0.032,-0.022000000000000002,-0.043,0.055,0.07
2617,0.677,0.32299999999999995,0.387,0.581,0.419,0.82,0.18,0.27,0.64,0.55,1.91,0.91,1.09,1.64,1.18,-0.09,-0.179,-0.132,-0.175,-0.125
2730,0.8,0.2,0.34700000000000003,0.551,0.402,4.63,0.8,1.48,3.36,2.61,9.04,2.26,3.93,6.23,4.54,-0.012,0.001,0.001,-0.03,-0.046
